test_id,node,test_category,test_description,test,result,failure_reason
44,leaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf2-DC1_Ethernet1,PASS,
45,leaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf2-DC1_Ethernet2,PASS,
46,leaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC1_Ethernet2,PASS,
47,leaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC1_Ethernet2,PASS,
48,leaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC1_Ethernet2,PASS,
49,leaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host1-DC1_nic1,PASS,
50,leaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1-DC1_nic2,PASS,
51,leaf1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf2-DC2_Ethernet1,PASS,
52,leaf1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf2-DC2_Ethernet2,PASS,
53,leaf1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC2_Ethernet2,PASS,
54,leaf1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC2_Ethernet2,PASS,
55,leaf1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC2_Ethernet2,PASS,
56,leaf1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host1-DC2_Ethernet1,PASS,
57,leaf1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1-DC2_Ethernet2,PASS,
58,leaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf1-DC1_Ethernet1,PASS,
59,leaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf1-DC1_Ethernet2,PASS,
60,leaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC1_Ethernet3,PASS,
61,leaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC1_Ethernet3,PASS,
62,leaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC1_Ethernet3,PASS,
63,leaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host1-DC1_nic3,PASS,
64,leaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1-DC1_nic4,PASS,
65,leaf2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf1-DC2_Ethernet1,PASS,
66,leaf2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf1-DC2_Ethernet2,PASS,
67,leaf2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC2_Ethernet3,PASS,
68,leaf2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC2_Ethernet3,PASS,
69,leaf2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC2_Ethernet3,PASS,
70,leaf2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host1-DC2_Ethernet3,PASS,
71,leaf2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1-DC2_Ethernet4,PASS,
72,leaf3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf4-DC1_Ethernet1,PASS,
73,leaf3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf4-DC1_Ethernet2,PASS,
74,leaf3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC1_Ethernet4,PASS,
75,leaf3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC1_Ethernet4,PASS,
76,leaf3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC1_Ethernet4,PASS,
77,leaf3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host2-DC1_Ethernet1,PASS,
78,leaf3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host2-DC1_Ethernet2,PASS,
79,leaf3-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf4-DC2_Ethernet1,PASS,
80,leaf3-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf4-DC2_Ethernet2,PASS,
81,leaf3-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC2_Ethernet4,PASS,
82,leaf3-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC2_Ethernet4,PASS,
83,leaf3-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC2_Ethernet4,PASS,
84,leaf3-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host2-DC2_Ethernet1,PASS,
85,leaf3-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host2-DC2_Ethernet2,PASS,
86,leaf4-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf3-DC1_Ethernet1,PASS,
87,leaf4-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf3-DC1_Ethernet2,PASS,
88,leaf4-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC1_Ethernet5,PASS,
89,leaf4-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC1_Ethernet5,PASS,
90,leaf4-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC1_Ethernet5,PASS,
91,leaf4-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host2-DC1_Ethernet3,PASS,
92,leaf4-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host2-DC1_Ethernet4,PASS,
93,leaf4-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf3-DC2_Ethernet1,PASS,
94,leaf4-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf3-DC2_Ethernet2,PASS,
95,leaf4-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC2_Ethernet5,PASS,
96,leaf4-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC2_Ethernet5,PASS,
97,leaf4-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC2_Ethernet5,PASS,
98,leaf4-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host2-DC2_Ethernet3,PASS,
99,leaf4-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host2-DC2_Ethernet4,PASS,
100,spine1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1-DC1_Ethernet3,PASS,
101,spine1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2-DC1_Ethernet3,PASS,
102,spine1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3-DC1_Ethernet3,PASS,
103,spine1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4-DC1_Ethernet3,PASS,
104,spine1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_BORDERLEAF1-DC1_Ethernet3,PASS,
105,spine1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_BORDERLEAF2-DC1_Ethernet3,PASS,
106,spine1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1-DC2_Ethernet3,PASS,
107,spine1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2-DC2_Ethernet3,PASS,
108,spine1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3-DC2_Ethernet3,PASS,
109,spine1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4-DC2_Ethernet3,PASS,
110,spine1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_BORDERLEAF1-DC2_Ethernet3,PASS,
111,spine1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_BORDERLEAF2-DC2_Ethernet3,PASS,
112,spine2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1-DC1_Ethernet4,PASS,
113,spine2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2-DC1_Ethernet4,PASS,
114,spine2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3-DC1_Ethernet4,PASS,
115,spine2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4-DC1_Ethernet4,PASS,
116,spine2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_BORDERLEAF1-DC1_Ethernet4,PASS,
117,spine2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_BORDERLEAF2-DC1_Ethernet4,PASS,
118,spine2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1-DC2_Ethernet4,PASS,
119,spine2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2-DC2_Ethernet4,PASS,
120,spine2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3-DC2_Ethernet4,PASS,
121,spine2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4-DC2_Ethernet4,PASS,
122,spine2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_BORDERLEAF1-DC2_Ethernet4,PASS,
123,spine2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_BORDERLEAF2-DC2_Ethernet4,PASS,
124,spine3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1-DC1_Ethernet5,PASS,
125,spine3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2-DC1_Ethernet5,PASS,
126,spine3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3-DC1_Ethernet5,PASS,
127,spine3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4-DC1_Ethernet5,PASS,
128,spine3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_BORDERLEAF1-DC1_Ethernet5,PASS,
129,spine3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_BORDERLEAF2-DC1_Ethernet5,PASS,
130,spine3-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1-DC2_Ethernet5,PASS,
131,spine3-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2-DC2_Ethernet5,PASS,
132,spine3-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3-DC2_Ethernet5,PASS,
133,spine3-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4-DC2_Ethernet5,PASS,
134,spine3-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_BORDERLEAF1-DC2_Ethernet5,PASS,
135,spine3-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_BORDERLEAF2-DC2_Ethernet5,PASS,
136,borderleaf1-DC1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_borderleaf2-DC1_Po1,PASS,
137,borderleaf1-DC2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_borderleaf2-DC2_Po1,PASS,
138,borderleaf2-DC1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_borderleaf1-DC1_Po1,PASS,
139,borderleaf2-DC2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_borderleaf1-DC2_Po1,PASS,
140,leaf1-DC1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf2-DC1_Po1,PASS,
141,leaf1-DC1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel6 - host1-DC1_PortChannel to host1-DC1,PASS,
142,leaf1-DC2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf2-DC2_Po1,PASS,
143,leaf1-DC2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel6 - host1-DC2_PortChannel host2-DC1,PASS,
144,leaf2-DC1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf1-DC1_Po1,PASS,
145,leaf2-DC1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel6 - host1-DC1_PortChannel to host1-DC1,PASS,
146,leaf2-DC2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf1-DC2_Po1,PASS,
147,leaf2-DC2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel6 - host1-DC2_PortChannel host2-DC1,PASS,
148,leaf3-DC1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf4-DC1_Po1,PASS,
149,leaf3-DC1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel6 - host2-DC1_PortChannel host2-DC1,PASS,
150,leaf3-DC2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf4-DC2_Po1,PASS,
151,leaf3-DC2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel6 - host2-DC2_PortChannel host2,PASS,
152,leaf4-DC1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf3-DC1_Po1,PASS,
153,leaf4-DC1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel6 - host2-DC1_PortChannel host2-DC1,PASS,
154,leaf4-DC2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf3-DC2_Po1,PASS,
155,leaf4-DC2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel6 - host2-DC2_PortChannel host2,PASS,
156,borderleaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
157,borderleaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
158,borderleaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan100 - DMZ,PASS,
159,borderleaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan200 - Internal,PASS,
160,borderleaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf Blue_1,PASS,
161,borderleaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
162,borderleaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
163,borderleaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Red_1,PASS,
164,borderleaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
165,borderleaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
166,borderleaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan100 - DMZ,PASS,
167,borderleaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan200 - Internal,PASS,
168,borderleaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf Blue_1,PASS,
169,borderleaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
170,borderleaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
171,borderleaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Red_1,PASS,
172,borderleaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
173,borderleaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
174,borderleaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan100 - DMZ,PASS,
175,borderleaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan200 - Internal,PASS,
176,borderleaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf Blue_1,PASS,
177,borderleaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
178,borderleaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
179,borderleaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Red_1,PASS,
180,borderleaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
181,borderleaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
182,borderleaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan100 - DMZ,PASS,
183,borderleaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan200 - Internal,PASS,
184,borderleaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf Blue_1,PASS,
185,borderleaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
186,borderleaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
187,borderleaf2-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Red_1,PASS,
188,leaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
189,leaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
190,leaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan100 - DMZ,PASS,
191,leaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan200 - Internal,PASS,
192,leaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf Blue_1,PASS,
193,leaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
194,leaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
195,leaf1-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Red_1,PASS,
196,leaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
197,leaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
198,leaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan100 - DMZ,PASS,
199,leaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan200 - Internal,PASS,
200,leaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf Blue_1,PASS,
201,leaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
202,leaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
203,leaf1-DC2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Red_1,PASS,
204,leaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
205,leaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
206,leaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan100 - DMZ,PASS,
207,leaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan200 - Internal,PASS,
208,leaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf Blue_1,PASS,
209,leaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
210,leaf2-DC1,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
